"zipcode","latitude","longitude"
"1279","46.352546","6.1654551"
"1279","46.3435262","6.1621477"
"1281","46.1880652","6.0135719"
"1283","46.1947347","5.9949263"
"1283","46.2052787","5.9883767"
"1283","46.1777336","6.0014166"
"1283","46.21052","5.98829"
"1284","46.1494996","5.9727228"
"1285","46.15474","6.0069"
"1285","46.1444638","6.0122909"
"1285","46.15474","6.0069"
"1286","46.1444245","6.043746"
"1287","46.1556213","6.0359714"
"1288","46.1905583","6.0428984"
"1289","46.199444","6.1451157"
"1290","46.3158782","6.1332926"
"1290","46.2876938","6.1657813"
"1290","46.2795782","6.135844"
"1290","46.3118509","6.1208684"
"1290","46.2876938","6.1657813"
"1291","46.3187046","6.1774577"
"1292","46.2430456","6.142291"
"1292","46.2341791","6.1393268"
"1293","46.2557621","6.1471443"
"1293","46.2558494","6.1311553"
"1293","46.249944","6.14734"
"1293","46.26089","6.14312"
"1294","46.26376","6.16132"
"1294","46.2644048","6.1546616"
"1294","46.27075","6.15879"
"1295","46.3073871","6.1577497"
"1295","46.3073871","6.1577497"
"1295","46.3073871","6.1577497"
"1296","46.3223826","6.1918873"
"1297","46.3360646","6.1699423"
"1297","46.3372556","6.1838751"
"1298","46.3508127","6.1821823"
"1298","46.3537605","6.190269"
"1299","46.364906","6.2067596"
"1302","46.5787989","6.539418"
"1303","46.5993131","6.5392512"
"1304","46.6167616","6.4981157"
"1304","46.6140944","6.507171"
"1304","46.6339032","6.4956006"
"1304","46.6003663","6.4869682"
"1305","46.6102563","6.5256764"
"1305","46.6097989","6.5254402"
"1306","46.6205182","6.5485233"
"1307","46.6303375","6.5247429"
"1307","46.6304666","6.5249187"
"1308","46.6180404","6.4755846"
"1312","46.6525234","6.5296659"
"1313","46.6583354","6.4856196"
"1315","46.6582337","6.5126843"
"1316","46.6425155","6.4768334"
"1317","46.6673781","6.5260641"
"1318","46.6667994","6.5107091"
"1318","46.6669874","6.5038564"
"1321","46.6938865","6.5187451"
"1322","46.6940322","6.4771608"
"1323","46.69037","6.45836"
"1323","46.6891749","6.4603369"
"1324","46.704421","6.4445824"
"1325","46.6879021","6.3889387"
"1326","46.6913802","6.448674"
"1329","46.7120876","6.4743168"
"1337","46.73073","6.38663"
"1337","46.7161058","6.3992958"
"1337","46.7119965","6.3791102"
"1338","46.7296887","6.4159236"
"1341","46.5910645","6.2647257"
"1342","46.6686176","6.3282833"
"1343","46.6662974","6.315135"
"1344","46.6364247","6.320202"
"1345","46.6452252","6.2482269"
"1345","46.6596156","6.2990458"
"1345","46.6315572","6.2610299"
"1346","46.6210206","6.2706192"
"1346","46.6299","6.28764"
"1347","46.6060254","6.2321667"
"1347","46.613936","6.2374994"
"1347","46.6239582","6.2508688"
"1347","46.6060254","6.2321667"
"1347","46.6198269","6.2347568"
"1348","46.5818772","6.2116101"
"1348","46.5667952","6.2300487"
"1350","46.7293301","6.5323588"
"1352","46.720125","6.5097535"
"1353","46.705068","6.4982378"
"1354","46.73381","6.50864"
"1355","46.7535471","6.4879443"
"1355","46.75062","6.49966"
"1356","46.7364589","6.4795394"
"1356","46.7316468","6.4628129"
"1357","46.7399571","6.4565477"
"1358","46.7533504","6.5257891"
"1372","46.6860182","6.5653718"
"1373","46.7088129","6.5707689"
"1374","46.7029453","6.5996501"
"1375","46.6818033","6.6037281"
"1376","46.6521988","6.5924467"
"1376","46.6579503","6.6048861"
"1376","46.6657323","6.5875268"
"1377","46.6419446","6.5770662"
"1400","46.7820058","6.6719386"
"1400","46.77895","6.67241"
"1400","46.773114","6.631682"
"1400","46.7784736","6.641183"
"1401","46.7650721","6.6159996"
"1404","46.7704322","6.6893549"
"1404","46.7809758","6.6966947"
"1405","46.7601259","6.6679184"
"1406","46.7571978","6.6968245"
"1407","46.7269672","6.7114717"
"1407","46.7429065","6.7140683"
"1407","46.7400869","6.701653"
"1407","46.74902","6.72721"
"1408","46.7344381","6.7404251"
"1409","46.7296682","6.7426149"
"1410","46.71547","6.73763"
"1410","46.7211621","6.7836319"
"1410","46.7279209","6.7932597"
"1410","46.6898931","6.7348962"
"1410","46.7040793","6.753842"
"1412","46.7349173","6.6684647"
"1412","46.7462973","6.6555817"
"1413","46.7241277","6.6839128"
"1415","46.7473825","6.7567152"
"1415","46.7603344","6.749057"
"1416","46.700334","6.6742913"
"1417","46.7383415","6.640529"
"1417","46.7155103","6.6394087"
"1417","46.71651","6.65369"
"1418","46.69306","6.6465"
"1418","46.6860883","6.6472988"
"1420","46.826952","6.6235785"
"1421","46.8353261","6.6197652"
"1421","46.8385716","6.6067599"
"1422","46.8206982","6.6623323"
"1422","46.8092091","6.6457678"
"1422","46.798185","6.628144"
"1423","46.8536164","6.6536573"
"1423","46.8505677","6.641609"
"1423","46.8463","6.6371399"
"1423","46.8472369","6.6293631"
"1424","46.83086","6.6583"
"1425","46.8396549","6.6866098"
"1426","46.8663264","6.7168016"
"1426","46.8464708","6.7059359"
"1427","46.8424205","6.6678933"
"1428","46.8831429","6.7274193"
"1428","46.887543","6.6871387"
"1429","46.81201","6.6183"
"1430","46.80801","6.5883556"
"1431","46.8188456","6.5662912"
"1431","46.8283942","6.5956856"
"1431","46.8189441","6.5681258"
"1432","46.7453758","6.624103"
"1432","46.7489355","6.6364649"
"1432","46.7553507","6.6460227"
"1432","46.7192194","6.6283676"
"1433","46.7228341","6.5989617"
"1434","46.7428093","6.6081451"
"1435","46.7278224","6.5835259"
"1436","46.7782322","6.6042766"
"1436","46.7739321","6.6092062"
"1437","46.7641751","6.5779972"
"1438","46.7674276","6.5656279"
"1439","46.760201","6.5299737"
"1440","46.790885","6.620487"
"1441","46.7989335","6.6088389"
"1442","46.7922799","6.6101282"
"1443","46.7829756","6.5728678"
"1443","46.7932661","6.5846138"
"1443","46.78638","6.58323"
"1445","46.8023577","6.5616759"
"1445","46.8051413","6.5556146"
"1446","46.7895163","6.521739"
"1450","46.8152273","6.4973817"
"1450","46.8198938","6.5101648"
"1450","46.8198938","6.5101648"
"1452","46.8294512","6.539615"
"1453","46.8307957","6.5543666"
"1453","46.8558419","6.6163352"
"1454","46.8179081","6.458938"
"1454","46.831133","6.479242"
"1454","46.8416082","6.4823934"
"1462","46.7803297","6.7209257"
"1462","46.7994765","6.7455463"
"1462","46.7994765","6.7455463"
"1463","46.79849","6.77775"
"1463","46.7847622","6.7645655"
"1464","46.7769235","6.7778913"
"1464","46.7714905","6.7693826"
"1464","46.7769235","6.7778913"
"1468","46.8110605","6.7874369"
"1470","46.8177","6.8269"
"1470","46.8496401","6.8450608"
"1470","46.8334425","6.8444462"
"1470","46.8132304","6.8317932"
"1473","46.8325377","6.8327537"
"1473","46.833006","6.827363"
"1474","46.8218643","6.810239"
"1475","46.8753387","6.8925866"
"1475","46.8753387","6.8925866"
"1475","46.87246","6.90572"
"1475","46.8753387","6.8925866"
"1482","46.8068026","6.8991473"
"1483","46.8184529","6.8672461"
"1483","46.81632","6.86722"
"1483","46.8184529","6.8672461"
"1484","46.7973917","6.8534935"
"1484","46.7973917","6.8534935"
"1485","46.7823407","6.8330755"
"1486","46.7370399","6.764964"
"1489","46.7928576","6.8225"
"1489","46.800003","6.816667"
"1489","46.7934201","6.7890935"
"1489","46.7903128","6.806841"
"1509","46.6248916","6.7799016"
"1510","46.650329","6.7880127"
"1510","46.6698891","6.7975224"
"1510","46.645146","6.778542"
"1512","46.6569029","6.8083634"
"1513","46.6419622","6.7602436"
"1513","46.652087","6.7761012"
"1514","46.6866984","6.8113788"
"1515","46.6971456","6.7873395"
"1515","46.7094724","6.7982451"
"1521","46.699182","6.8495318"
"1522","46.7082614","6.8389176"
"1522","46.7047888","6.8086038"
"1523","46.76336","6.88765"
"1524","46.7558","6.90078"
"1525","46.7422803","6.883395"
"1525","46.728","6.87861"
"1525","46.728394","6.868154"
"1526","46.7260507","6.8430763"
"1526","46.7271332","6.8242127"
"1527","46.7464845","6.868663"
"1528","46.7417855","6.8487689"
"1528","46.746642","6.8586731"
"1529","46.7504497","6.835783"
"1529","46.76045","6.85577"
"1530","46.8341898","6.9289693"
"1532","46.7988384","6.9164261"
"1533","46.78349","6.8806092"
"1534","46.76805","6.84954"
"1534","46.7759","6.85872"
"1535","46.7629844","6.8192385"
"1536","46.7494","6.80999"
"1537","46.7602888","6.7876222"
"1538","46.7716154","6.7999774"
"1541","46.8347441","6.8883729"
"1541","46.8436085","6.9065226"
"1541","46.8381596","6.8756059"
"1542","46.8597435","6.9165522"
"1543","46.8718572","6.9281823"
"1543","46.8709","6.94685"
"1544","46.8994958","6.9361812"
"1545","46.8912788","6.9109572"
"1551","46.7916373","6.9395373"
"1551","46.7966238","6.9429153"
"1552","46.77139","6.91549"
"1552","46.7701263","6.9260996"
"1553","46.7541947","6.9389834"
"1554","46.733333","6.933333"
"1554","46.749416","6.932504"
"1555","46.7453692","6.9102619"
"1562","46.8309425","6.9622657"
"1563","46.8520859","6.9907525"
"1564","46.8670616","7.0135403"
"1565","46.8764328","6.9572624"
"1565","46.8796692","6.9691347"
"1565","46.8850375","6.9534422"
"1566","46.8889805","6.9888061"
"1566","46.8897484","6.9806203"
"1567","46.9133633","6.9676921"
"1568","46.91404","6.95501"
"1580","46.8806009","7.0427075"
"1580","46.883333","7.05"
"1580","46.8556727","7.0371866"
"1583","46.883335","7.083333"
"1583","46.8832682","7.0718558"
"1584","46.9082943","6.9950223"
"1585","46.9204141","7.02158"
"1585","46.920437","7.0218454"
"1585","46.9183635","7.0223447"
"1586","46.9317551","7.0390187"
"1586","46.9247552","7.0364252"
"1586","46.930921","7.0364054"
"1587","46.9186759","7.0114287"
"1587","46.9262464","7.0108661"
"1588","46.9407963","6.9985823"
"1588","46.9548174","7.028313"
"1588","46.9747433","7.0544787"
"1588","46.94911","7.02816"
"1589","46.9280983","6.9867848"
"1595","46.8994795","7.0909656"
"1595","46.9006664","7.0760673"
"1607","46.5543134","6.8119109"
"1607","46.5396202","6.8118613"
"1607","46.5547204","6.8297563"
"1607","46.5547204","6.8297563"
"1607","46.56243","6.8377"
"1608","46.56963","6.86296"
"1608","46.5857175","6.8392134"
"1608","46.5768199","6.8532023"
"1608","46.57532","6.83979"
"1608","46.57532","6.83979"
"1609","46.5847186","6.8799852"
"1609","46.5847186","6.8799852"
"1609","46.5767192","6.8688219"
"1610","46.5691032","6.8151617"
